iter	Passed	Remaining
830	10359	2106
831	10370	2094
832	10382	2081
833	10394	2068
834	10405	2056
835	10416	2043
836	10427	2030
837	10438	2017
838	10448	2005
839	10459	1992
840	10470	1979
841	10482	1966
842	10494	1954
843	10505	1941
844	10517	1929
845	10530	1916
846	10544	1904
847	10557	1892
848	10569	1879
849	10580	1867
850	10592	1854
851	10603	1841
852	10614	1829
853	10624	1816
854	10635	1803
855	10648	1791
856	10660	1778
857	10673	1766
858	10684	1753
859	10696	1741
860	10707	1728
861	10720	1716
862	10733	1704
863	10750	1692
864	10764	1679
865	10778	1667
866	10791	1655
867	10803	1642
868	10815	1630
869	10827	1617
870	10840	1605
871	10853	1593
872	10866	1580
873	10878	1568
874	10891	1555
875	10903	1543
876	10915	1530
877	10929	1518
878	10942	1506
879	10961	1494
880	10976	1482
881	10990	1470
882	11003	1457
883	11015	1445
884	11028	1433
885	11039	1420
886	11052	1408
887	11065	1395
888	11078	1383
889	11089	1370
890	11103	1358
891	11116	1345
892	11128	1333
893	11141	1321
894	11155	1308
895	11167	1296
896	11180	1283
897	11194	1271
898	11206	1259
899	11217	1246
900	11229	1233
901	11241	1221
902	11252	1208
903	11263	1196
904	11274	1183
905	11285	1170
906	11296	1158
907	11309	1145
908	11319	1133
909	11331	1120
910	11344	1108
911	11360	1096
912	11373	1083
913	11384	1071
914	11395	1058
915	11406	1046
916	11417	1033
917	11428	1020
918	11440	1008
919	11451	995
920	11463	983
921	11475	970
922	11486	958
923	11497	945
924	11508	933
925	11519	920
926	11530	908
927	11542	895
928	11555	883
929	11569	870
930	11580	858
931	11592	845
932	11603	833
933	11614	820
934	11626	808
935	11638	795
936	11651	783
937	11663	770
938	11674	758
939	11686	745
940	11697	733
941	11709	720
942	11720	708
943	11733	696
944	11745	683
945	11760	671
946	11773	658
947	11786	646
948	11798	634
949	11809	621
950	11821	609
951	11832	596
952	11843	584
953	11854	571
954	11865	559
955	11877	546
956	11888	534
957	11899	521
958	11910	509
959	11921	496
960	11934	484
961	11947	471
962	11962	459
963	11974	447
964	11987	434
965	12001	422
966	12015	410
967	12028	397
968	12040	385
969	12053	372
970	12066	360
971	12078	347
972	12092	335
973	12106	323
974	12124	310
975	12138	298
976	12153	286
977	12167	273
978	12182	261
979	12200	248
980	12215	236
981	12231	224
982	12245	211
983	12263	199
984	12277	186
985	12290	174
986	12304	162
987	12318	149
988	12335	137
989	12355	124
990	12369	112
991	12387	99
992	12400	87
993	12414	74
994	12428	62
995	12441	49
996	12456	37
997	12470	24
998	12484	12
999	12498	0
