id,candidate_id,timetable_id
1653,22601,1
1656,23071,2
1657,23101,2
1658,23192,2
1659,23990,1
1662,24550,5
1664,28948,5
1665,30117,1
1670,33270,2
1671,33344,2
1672,34721,2
1673,35085,1
1675,36699,1
1680,37062,1
1684,37556,1
1688,38488,1
1693,39013,1
1695,39235,2
1696,40914,2
1697,42901,5
1701,42977,1
1703,44407,2
1704,44638,2
1705,5994,2
1706,12139,2
1707,38199,5
1710,2286,2
1711,12033,2
1712,13882,2
1713,14268,2
1714,26535,5
1715,29726,2
1716,31748,2
1717,34086,2
1720,39490,2
1721,41410,1
1724,42587,2
1725,43929,2
1726,31255,1
1729,10927,5
1733,21694,5
1737,192,2
1738,248,2
1741,801,1
1744,1045,2
1745,1356,1
1749,1526,1
1754,2410,2
1755,2609,2
1756,2987,2
1757,3185,2
1761,4245,2
1762,4531,2
1763,4976,2
1764,5768,2
1766,5948,1
1768,6217,5
1769,7112,2
1770,7220,2
1771,7936,2
1772,7981,2
1773,8045,1
1776,8188,2
1777,8883,2
1778,9056,2
1779,9165,1
1781,10146,1
1784,10196,2
1787,10803,2
1788,10882,2
1789,11766,2
1790,12784,1
1792,13084,1
1796,13170,2
1797,14078,2
1798,14210,1
1803,14558,2
1804,14784,2
1805,15675,1
1809,15818,2
1811,17177,2
1812,17203,1
1816,17293,1
1820,18316,2
1821,18883,2
1822,19445,1
1826,19469,5
1830,20073,2
1831,20348,2
1832,20753,2
1833,20997,1
1836,21510,1
1839,21783,2
1840,22506,5
1841,22613,2
1842,22634,5
1846,22743,2
1847,23893,2
1849,24111,2
1850,24916,2
1851,25007,5
1852,25424,1
1856,25431,1
1860,26056,1
1863,28912,2
1864,29558,1
1868,29806,2
1869,30355,5
1870,31459,2
1871,31690,1
1876,35102,2
1877,36321,1
1880,36767,2
1881,36792,2
1882,37133,2
1883,37219,2
1884,37236,2
1885,37260,1
1888,38047,2
1889,38249,2
1890,38362,2
1891,38518,5
1894,38556,1
1897,38584,2
1898,39550,2
1899,40402,2
1900,40572,5
1901,41225,2
1902,41313,1
1905,41365,2
1907,41510,2
1908,42652,2
1909,43381,2
1910,43617,1
1913,43789,2
1916,26198,2
1917,9784,2
1918,27612,1
1921,34954,5
1925,426,1
1930,446,1
1933,2567,1
1936,4234,2
1937,4940,2
1938,5141,2
1940,8860,2
1941,9691,1
1944,11221,1
1949,11618,1
1952,12891,2
1953,13744,2
1955,18300,2
1956,19085,2
1957,19406,5
1960,19592,1
1963,19704,2
1964,20210,2
1965,20717,2
1966,21447,1
1969,23930,2
1970,23949,2
1972,31195,2
1973,31430,2
1974,33910,2
1975,34295,2
1976,35969,2
1977,36922,1
1981,39965,1
1985,41730,2
1986,41771,2
1987,42765,2
1988,44362,2
1989,32595,1
1994,254,2
1995,18310,1
1997,9619,2
1999,41231,2
2000,209,2
2001,1102,2
2002,1879,2
2003,2092,1
2008,2435,2
2009,2586,4
2010,2668,2
2011,3080,1
2014,3382,2
2015,4545,1
2017,5244,1
2020,5963,2
2021,6140,2
2023,6305,2
2024,6556,2
2025,7478,1
2027,7879,2
2028,8168,2
2029,8575,1
2031,8733,2
2033,8823,2
2034,9174,2
2035,9557,2
2036,9733,4
2041,10233,2
2042,10472,1
2047,10728,2
2048,10806,2
2049,11163,2
2050,11185,2
2051,11395,2
2052,11459,4
2056,11825,2
2057,12369,2
2058,12606,2
2060,14124,2
2062,14224,2
2063,14619,2
2065,14663,2
2066,14958,2
2067,15330,2
2068,15752,2
2069,16055,2
2070,16226,1
2072,16239,2
2073,16259,2
2074,16765,2
2075,16921,1
2079,18638,2
2081,18869,2
2083,19646,1
2087,20178,2
2088,20197,2
2089,20669,5
2092,20823,2
2093,20871,2
2094,20872,2
2095,21372,2
2096,21418,2
2098,21927,4
2103,21946,2
2104,21981,1
2107,22879,2
2110,23211,2
2111,23256,2
2112,24493,1
2115,24800,2
2116,25440,5
2119,25570,2
2120,25903,2
2121,26533,2
2122,27080,2
2123,27383,2
2124,27646,2
2125,27707,1
2127,28160,1
2132,28201,2
2133,29093,2
2134,29098,2
2135,29180,2
2136,29268,2
2138,29509,1
2141,30307,2
2142,31689,2
2143,31800,2
2144,31872,2
2145,32142,2
2146,32384,2
2147,32724,2
2148,33372,2
2149,33444,2
2150,33821,1
2151,34197,1
2155,34212,1
2159,34450,1
2162,35731,2
2163,35939,1
2167,36440,5
2171,36630,1
2176,37019,2
2177,37049,2
2178,37500,2
2179,37753,2
2181,37866,1
2182,37893,1
2185,38234,1
2187,38297,1
2190,38701,5
2192,39023,1
2197,39234,1
2201,39758,1
2204,39981,2
2205,40247,2
2206,40264,5
2207,40433,1
2212,40864,2
2213,41262,1
2217,41822,1
2221,42783,2
2222,43173,1
2227,44256,2
2228,17140,1
2233,11038,2
2235,27402,2
2236,3316,2
2237,6462,2
2238,10812,1
2241,17677,2
2242,20901,5
2246,27232,2
2248,28551,1
2252,34874,2
2254,44424,2
2258,245,1
2261,13145,2
2262,22379,5
2265,36564,2
2266,39694,5
2269,1734,2
2270,8358,5
2273,21878,2
2274,23649,1
2276,28806,2
2277,32192,2
2278,32452,1
2283,37093,2
2284,40980,2
2285,41452,2
2286,108,5
2288,148,5
2289,681,2
2290,842,5
2294,1393,2
2295,1667,4
2300,2100,1
2303,2282,2
2304,3077,2
2305,3137,4
2310,3190,2
2311,3236,2
2312,4367,2
2313,4513,2
2314,4534,2
2315,4877,2
2316,5641,2
2317,5717,2
2319,5754,2
2320,5918,1
2322,5971,2
2323,6167,2
2324,6469,2
2325,7174,2
2326,7241,2
2327,7254,2
2328,7502,1
2330,8129,2
2331,8452,2
2332,8948,2
2333,9061,2
2334,9542,2
2336,9848,1
2340,10534,1
2342,11084,2
2343,11200,1
2346,11438,2
2348,11637,2
2349,11835,1
2354,12080,1
2357,12093,2
2358,12202,1
2361,12585,2
2362,13260,1
2364,13444,2
2365,14174,1
2370,14179,2
2372,14325,2
2373,14353,2
2374,14371,2
2375,14659,1
2379,14880,2
2380,14965,2
2381,14992,1
2383,15029,2
2384,15468,1
2387,16494,2
2388,16671,2
2389,16696,2
2390,16923,1
2393,17338,2
2394,17976,2
2395,18368,2
2396,18397,2
2397,18456,2
2398,18611,2
2399,19137,2
2400,19156,2
2401,19444,2
2403,19505,1
2407,19659,1
2409,19715,2
2410,20091,2
2411,20220,2
2412,20604,2
2413,20731,4
2418,20900,2
2419,20925,2
2420,21039,2
2421,22362,2
2422,22898,1
2424,22963,1
2426,23190,2
2427,23239,1
2432,23569,2
2433,23767,2
2434,24161,2
2435,24173,2
2436,24207,2
2437,24486,1
2442,25065,2
2443,25232,2
